app_id,name,tier,env,server_hostnames,depends_on,notes
app-k8s-worker-37,k8s-worker service 37,infra,prod,k8s-w-00971;k8s-w-11152;k8s-w-07131;k8s-w-13426;k8s-w-05882;k8s-w-11910;k8s-w-04176;k8s-w-01669,,
app-k8s-worker-38,k8s-worker service 38,infra,dev,k8s-w-05962;k8s-w-08611;k8s-w-09816;k8s-w-09097;k8s-w-02226;k8s-w-07978;k8s-w-11002;k8s-w-01708;k8s-w-12364;k8s-w-07277;k8s-w-08239;k8s-w-03883;k8s-w-13560;k8s-w-02492;k8s-w-08728;k8s-w-03309;k8s-w-01854;k8s-w-05135,,
app-k8s-worker-39,k8s-worker service 39,infra,prod,k8s-w-03883;k8s-w-13560;k8s-w-02492;k8s-w-08728;k8s-w-03309;k8s-w-01854;k8s-w-05135;k8s-w-12598;k8s-w-03345;k8s-w-06950;k8s-w-01109;k8s-w-02383;k8s-w-07279;k8s-w-03794;k8s-w-05515;k8s-w-11746;k8s-w-01561;k8s-w-07665;k8s-w-12034;k8s-w-09073,,
app-k8s-worker-40,k8s-worker service 40,infra,prod,k8s-w-02383;k8s-w-07279;k8s-w-03794;k8s-w-05515;k8s-w-11746;k8s-w-01561;k8s-w-07665;k8s-w-12034;k8s-w-09073;k8s-w-08121;k8s-w-12858;k8s-w-13749;k8s-w-01997;k8s-w-11373;k8s-w-08226;k8s-w-14006,,
app-k8s-worker-41,k8s-worker service 41,infra,prod,k8s-w-13749;k8s-w-01997;k8s-w-11373;k8s-w-08226;k8s-w-14006;k8s-w-12974;k8s-w-10395;k8s-w-09668;k8s-w-12378;k8s-w-05413,,
app-k8s-worker-42,k8s-worker service 42,infra,dev,k8s-w-05377;k8s-w-14949;k8s-w-09602;k8s-w-13962;k8s-w-08843;k8s-w-02053;k8s-w-06304;k8s-w-11280;k8s-w-05299;k8s-w-13306;k8s-w-09026;k8s-w-10096;k8s-w-13919;k8s-w-08984;k8s-w-00018;k8s-w-12432,,
app-k8s-worker-43,k8s-worker service 43,infra,prod,k8s-w-10096;k8s-w-13919;k8s-w-08984;k8s-w-00018;k8s-w-12432;k8s-w-08983;k8s-w-08822;k8s-w-03681;k8s-w-05386;k8s-w-12644;k8s-w-01166;k8s-w-09812,,
app-k8s-worker-44,k8s-worker service 44,infra,dev,k8s-w-09812;k8s-w-07257;k8s-w-06450;k8s-w-01388;k8s-w-12537;k8s-w-03777;k8s-w-01907;k8s-w-11903,,
app-k8s-worker-45,k8s-worker service 45,infra,prod,k8s-w-07326;k8s-w-09745;k8s-w-08613;k8s-w-13184;k8s-w-14140;k8s-w-05219;k8s-w-02822;k8s-w-08671;k8s-w-06433;k8s-w-05325;k8s-w-05945;k8s-w-01127;k8s-w-12804;k8s-w-13030;k8s-w-03581;k8s-w-06170,,
app-k8s-worker-46,k8s-worker service 46,infra,prod,k8s-w-01127;k8s-w-12804;k8s-w-13030;k8s-w-03581;k8s-w-06170;k8s-w-05721;k8s-w-00852;k8s-w-07280;k8s-w-03028,,
app-k8s-worker-47,k8s-worker service 47,infra,dev,k8s-w-08725;k8s-w-00346;k8s-w-02083;k8s-w-00866;k8s-w-02090;k8s-w-01823;k8s-w-05119;k8s-w-07634;k8s-w-01648;k8s-w-07623;k8s-w-00091;k8s-w-10734;k8s-w-09493;k8s-w-03116;k8s-w-09779;k8s-w-05670;k8s-w-09174;k8s-w-11494;k8s-w-04958;k8s-w-06554,,
app-k8s-worker-48,k8s-worker service 48,infra,prod,k8s-w-10734;k8s-w-09493;k8s-w-03116;k8s-w-09779;k8s-w-05670;k8s-w-09174;k8s-w-11494;k8s-w-04958;k8s-w-06554;k8s-w-11261;k8s-w-00001;k8s-w-14342;k8s-w-12114;k8s-w-07399,,
app-k8s-worker-49,k8s-worker service 49,infra,prod,k8s-w-14342;k8s-w-12114;k8s-w-07399;k8s-w-03106;k8s-w-01019;k8s-w-01382;k8s-w-01873;k8s-w-02776;k8s-w-10775;k8s-w-08268;k8s-w-02629;k8s-w-07765;k8s-w-06507;k8s-w-05199;k8s-w-12379;k8s-w-00533;k8s-w-00358,,
app-k8s-worker-50,k8s-worker service 50,infra,prod,k8s-w-07765;k8s-w-06507;k8s-w-05199;k8s-w-12379;k8s-w-00533;k8s-w-00358;k8s-w-08862;k8s-w-03338;k8s-w-07770;k8s-w-02423;k8s-w-04662;k8s-w-08211;k8s-w-07813;k8s-w-13795;k8s-w-14915;k8s-w-07817,,
app-k8s-worker-51,k8s-worker service 51,infra,prod,k8s-w-08211;k8s-w-07813;k8s-w-13795;k8s-w-14915;k8s-w-07817;k8s-w-14546;k8s-w-13593;k8s-w-05465;k8s-w-06927;k8s-w-04171,,
app-k8s-worker-52,k8s-worker service 52,infra,prod,k8s-w-07738;k8s-w-04637;k8s-w-09157;k8s-w-06653;k8s-w-14389;k8s-w-07094;k8s-w-14351;k8s-w-08223;k8s-w-06573;k8s-w-10608;k8s-w-14787;k8s-w-14941;k8s-w-14496;k8s-w-07987;k8s-w-07283;k8s-w-14802,,
app-k8s-worker-53,k8s-worker service 53,infra,staging,k8s-w-14941;k8s-w-14496;k8s-w-07987;k8s-w-07283;k8s-w-14802;k8s-w-01615;k8s-w-08158;k8s-w-09092;k8s-w-01900;k8s-w-07614;k8s-w-09088;k8s-w-07303;k8s-w-11889;k8s-w-05225;k8s-w-01775;k8s-w-04985;k8s-w-07860;k8s-w-13818,,
app-k8s-worker-54,k8s-worker service 54,infra,prod,k8s-w-07303;k8s-w-11889;k8s-w-05225;k8s-w-01775;k8s-w-04985;k8s-w-07860;k8s-w-13818;k8s-w-13271;k8s-w-09320;k8s-w-09243;k8s-w-04454;k8s-w-06484;k8s-w-06846;k8s-w-07499,,
app-k8s-worker-55,k8s-worker service 55,infra,prod,k8s-w-06484;k8s-w-06846;k8s-w-07499;k8s-w-02643;k8s-w-13252;k8s-w-01240;k8s-w-03346;k8s-w-05246,,
app-k8s-worker-56,k8s-worker service 56,infra,staging,k8s-w-14735;k8s-w-14620;k8s-w-04892;k8s-w-00583;k8s-w-07189;k8s-w-08760;k8s-w-05831;k8s-w-04418;k8s-w-06228;k8s-w-12895;k8s-w-05401;k8s-w-02420;k8s-w-05848;k8s-w-04661;k8s-w-05081;k8s-w-00848;k8s-w-14320;k8s-w-05085;k8s-w-03871;k8s-w-00337,,
app-k8s-worker-57,k8s-worker service 57,infra,prod,k8s-w-02420;k8s-w-05848;k8s-w-04661;k8s-w-05081;k8s-w-00848;k8s-w-14320;k8s-w-05085;k8s-w-03871;k8s-w-00337;k8s-w-04451;k8s-w-10725;k8s-w-04758;k8s-w-07098;k8s-w-02796;k8s-w-14336,,
app-k8s-worker-58,k8s-worker service 58,infra,prod,k8s-w-04758;k8s-w-07098;k8s-w-02796;k8s-w-14336;k8s-w-02026;k8s-w-10818;k8s-w-10792;k8s-w-06716;k8s-w-00218;k8s-w-12451;k8s-w-07101;k8s-w-14073;k8s-w-05777;k8s-w-13374;k8s-w-06214;k8s-w-05109;k8s-w-10115;k8s-w-02752,,
app-k8s-worker-59,k8s-worker service 59,infra,prod,k8s-w-14073;k8s-w-05777;k8s-w-13374;k8s-w-06214;k8s-w-05109;k8s-w-10115;k8s-w-02752;k8s-w-06808;k8s-w-05148;k8s-w-08924;k8s-w-11626;k8s-w-13422;k8s-w-00529,,
app-k8s-worker-60,k8s-worker service 60,infra,staging,k8s-w-13422;k8s-w-00529;k8s-w-05963;k8s-w-13157;k8s-w-07603;k8s-w-08960;k8s-w-04684;k8s-w-05407,,
app-k8s-worker-61,k8s-worker service 61,infra,prod,k8s-w-05630;k8s-w-06483;k8s-w-07685;k8s-w-02011;k8s-w-02515;k8s-w-12766;k8s-w-02883;k8s-w-04172;k8s-w-09876;k8s-w-02608;k8s-w-14487;k8s-w-11581;k8s-w-09368;k8s-w-02972,,
app-k8s-worker-62,k8s-worker service 62,infra,staging,k8s-w-11581;k8s-w-09368;k8s-w-02972;k8s-w-08554;k8s-w-09427;k8s-w-05224;k8s-w-02841;k8s-w-07469;k8s-w-02301;k8s-w-06939;k8s-w-02352;k8s-w-14353,,
app-k8s-worker-63,k8s-worker service 63,infra,prod,k8s-w-14353;k8s-w-00303;k8s-w-05305;k8s-w-06011;k8s-w-11627;k8s-w-12367;k8s-w-12171;k8s-w-09926;k8s-w-14166;k8s-w-06073,,
app-k8s-worker-64,k8s-worker service 64,infra,prod,k8s-w-13859;k8s-w-14995;k8s-w-02208;k8s-w-12443;k8s-w-04701;k8s-w-08126;k8s-w-01424;k8s-w-03682;k8s-w-03372;k8s-w-05541;k8s-w-02127,,
app-k8s-worker-65,k8s-worker service 65,infra,prod,k8s-w-02564;k8s-w-04093;k8s-w-08561;k8s-w-07516;k8s-w-07201;k8s-w-11071;k8s-w-11657;k8s-w-10786;k8s-w-14649;k8s-w-09063;k8s-w-02417;k8s-w-02234;k8s-w-13579;k8s-w-12450;k8s-w-14156;k8s-w-07093;k8s-w-14072,,
app-k8s-worker-66,k8s-worker service 66,infra,prod,k8s-w-02234;k8s-w-13579;k8s-w-12450;k8s-w-14156;k8s-w-07093;k8s-w-14072;k8s-w-11528;k8s-w-03323;k8s-w-05922;k8s-w-12101;k8s-w-05073;k8s-w-02041,,
app-k8s-worker-67,k8s-worker service 67,infra,dev,k8s-w-02041;k8s-w-10667;k8s-w-04109;k8s-w-06681;k8s-w-05502;k8s-w-07797;k8s-w-08237;k8s-w-09279;k8s-w-02305;k8s-w-14167;k8s-w-03955;k8s-w-11330;k8s-w-05170,,
app-k8s-worker-68,k8s-worker service 68,infra,prod,k8s-w-11330;k8s-w-05170;k8s-w-06032;k8s-w-05105;k8s-w-12726;k8s-w-13291;k8s-w-09504;k8s-w-01521;k8s-w-12068;k8s-w-12715;k8s-w-03847;k8s-w-11948;k8s-w-12357;k8s-w-03561;k8s-w-05397;k8s-w-07535;k8s-w-00512,,
app-k8s-worker-69,k8s-worker service 69,infra,prod,k8s-w-11948;k8s-w-12357;k8s-w-03561;k8s-w-05397;k8s-w-07535;k8s-w-00512;k8s-w-01140;k8s-w-06889;k8s-w-11789;k8s-w-00047;k8s-w-03579;k8s-w-01118;k8s-w-03092;k8s-w-12144;k8s-w-10723;k8s-w-13883;k8s-w-06045;k8s-w-07069;k8s-w-12729,,
app-k8s-worker-70,k8s-worker service 70,infra,prod,k8s-w-01118;k8s-w-03092;k8s-w-12144;k8s-w-10723;k8s-w-13883;k8s-w-06045;k8s-w-07069;k8s-w-12729;k8s-w-00679;k8s-w-02506;k8s-w-10419;k8s-w-12015,,
app-k8s-worker-71,k8s-worker service 71,infra,prod,k8s-w-12015;k8s-w-14201;k8s-w-00081;k8s-w-05637;k8s-w-06780;k8s-w-11864;k8s-w-04870;k8s-w-00586,,
app-k8s-worker-72,k8s-worker service 72,infra,prod,k8s-w-01358;k8s-w-14573;k8s-w-12536;k8s-w-02813;k8s-w-12448;k8s-w-02132;k8s-w-05121;k8s-w-09729;k8s-w-08889;k8s-w-12072;k8s-w-12655;k8s-w-08911;k8s-w-13885;k8s-w-03960;k8s-w-00911;k8s-w-07238;k8s-w-11639;k8s-w-05586;k8s-w-06928;k8s-w-10534,,
app-k8s-worker-73,k8s-worker service 73,infra,staging,k8s-w-08911;k8s-w-13885;k8s-w-03960;k8s-w-00911;k8s-w-07238;k8s-w-11639;k8s-w-05586;k8s-w-06928;k8s-w-10534;k8s-w-06613;k8s-w-09150;k8s-w-13975;k8s-w-11403;k8s-w-04928;k8s-w-11447;k8s-w-04730;k8s-w-12595;k8s-w-00787;k8s-w-05177,,
app-k8s-worker-74,k8s-worker service 74,infra,prod,k8s-w-13975;k8s-w-11403;k8s-w-04928;k8s-w-11447;k8s-w-04730;k8s-w-12595;k8s-w-00787;k8s-w-05177;k8s-w-01252;k8s-w-00221;k8s-w-10640;k8s-w-01961;k8s-w-02358;k8s-w-10464;k8s-w-04583;k8s-w-02769;k8s-w-11834;k8s-w-11204;k8s-w-01829;k8s-w-07472,,
app-k8s-worker-75,k8s-worker service 75,infra,prod,k8s-w-01961;k8s-w-02358;k8s-w-10464;k8s-w-04583;k8s-w-02769;k8s-w-11834;k8s-w-11204;k8s-w-01829;k8s-w-07472;k8s-w-00726;k8s-w-00898;k8s-w-01710;k8s-w-05022;k8s-w-01483;k8s-w-05574;k8s-w-12177;k8s-w-07656;k8s-w-13740;k8s-w-13923,,
app-k8s-worker-76,k8s-worker service 76,infra,prod,k8s-w-01710;k8s-w-05022;k8s-w-01483;k8s-w-05574;k8s-w-12177;k8s-w-07656;k8s-w-13740;k8s-w-13923;k8s-w-00282;k8s-w-13285;k8s-w-12564;k8s-w-14733;k8s-w-07323;k8s-w-05614;k8s-w-02953;k8s-w-05694;k8s-w-14465;k8s-w-03289;k8s-w-06281;k8s-w-13852,,
app-k8s-worker-77,k8s-worker service 77,infra,staging,k8s-w-14733;k8s-w-07323;k8s-w-05614;k8s-w-02953;k8s-w-05694;k8s-w-14465;k8s-w-03289;k8s-w-06281;k8s-w-13852;k8s-w-12951;k8s-w-01254;k8s-w-02775;k8s-w-07895;k8s-w-09902,,
app-k8s-worker-78,k8s-worker service 78,infra,prod,k8s-w-02775;k8s-w-07895;k8s-w-09902;k8s-w-13217;k8s-w-03568;k8s-w-12503;k8s-w-05103;k8s-w-14241,,
app-k8s-worker-79,k8s-worker service 79,infra,dev,k8s-w-07350;k8s-w-07748;k8s-w-10832;k8s-w-08670;k8s-w-02832;k8s-w-13826;k8s-w-10138;k8s-w-06587;k8s-w-07381;k8s-w-02436;k8s-w-09713;k8s-w-00878;k8s-w-04713;k8s-w-06784;k8s-w-02086;k8s-w-09011;k8s-w-11513,,
app-k8s-worker-80,k8s-worker service 80,infra,prod,k8s-w-00878;k8s-w-04713;k8s-w-06784;k8s-w-02086;k8s-w-09011;k8s-w-11513;k8s-w-13807;k8s-w-04359;k8s-w-02855,,
app-k8s-worker-81,k8s-worker service 81,infra,prod,k8s-w-14999;k8s-w-04949;k8s-w-05498;k8s-w-01748;k8s-w-10761;k8s-w-11992;k8s-w-03188;k8s-w-14745;k8s-w-09644;k8s-w-11485;k8s-w-06616;k8s-w-05577;k8s-w-03009;k8s-w-00403,,
app-k8s-worker-82,k8s-worker service 82,infra,prod,k8s-w-05577;k8s-w-03009;k8s-w-00403;k8s-w-11421;k8s-w-03445;k8s-w-03136;k8s-w-05439;k8s-w-02039;k8s-w-01745,,
app-k8s-worker-83,k8s-worker service 83,infra,staging,k8s-w-08391;k8s-w-07163;k8s-w-13379;k8s-w-00727;k8s-w-02388;k8s-w-10032;k8s-w-14091;k8s-w-05733;k8s-w-00457;k8s-w-09521;k8s-w-14774;k8s-w-13262;k8s-w-08618;k8s-w-14065;k8s-w-12321;k8s-w-00659;k8s-w-12048,,
app-k8s-worker-84,k8s-worker service 84,infra,prod,k8s-w-13262;k8s-w-08618;k8s-w-14065;k8s-w-12321;k8s-w-00659;k8s-w-12048;k8s-w-04753;k8s-w-02274;k8s-w-12685,,
app-web-85,web service 85,frontend,staging,web-01386;web-14531;web-01488;web-11769;web-12406;web-02647;web-00114;web-03964;web-01629;web-09955;web-01557;web-02313;web-02159;web-03132;web-10755;web-03669;web-01293;web-02863;web-08164,app-general-770;app-general-571,
app-web-86,web service 86,frontend,prod,web-10360;web-04472;web-04407;web-09510;web-14081;web-12677;web-11968;web-08892;web-06903;web-04522;web-13060;web-14325;web-09068;web-04994;web-06180;web-03987;web-04314,app-app-182;app-general-731,
app-web-87,web service 87,frontend,staging,web-02464;web-05353;web-03379;web-00180;web-06723;web-04345;web-00768;web-09992,app-app-437;app-general-564,
app-web-88,web service 88,frontend,prod,web-11813;web-05546;web-13905;web-02842;web-03497;web-03634;web-04681;web-14387;web-03386;web-11386;web-03137;web-01298;web-04590;web-09035;web-13738;web-07730;web-03134,app-general-494;app-general-668,
app-web-89,web service 89,frontend,prod,web-01023;web-05950;web-02129;web-11804;web-03658;web-13596;web-07564;web-13301,app-general-715;app-general-744,
app-web-90,web service 90,frontend,prod,web-04271;web-07124;web-04131;web-04808;web-02888;web-06526;web-05295;web-02405;web-00420;web-14948,app-general-551;app-general-751,
app-web-91,web service 91,frontend,prod,web-06955;web-07929;web-06418;web-01163;web-11389;web-01684;web-03874;web-08291;web-10694;web-01102;web-01395;web-02167;web-00593;web-04368;web-03714;web-12310;web-03856;web-11612,app-app-188;app-app-236,
app-web-92,web service 92,frontend,prod,web-13564;web-01973;web-08142;web-11301;web-10593;web-06191;web-10692;web-12996;web-04502;web-01078,app-general-728;app-app-411,
app-web-93,web service 93,frontend,prod,web-07354;web-07261;web-12172;web-13424;web-13056;web-07968;web-08217;web-11874;web-11402;web-03446;web-07378;web-14412;web-05981,app-general-759;app-general-608,
app-web-94,web service 94,frontend,prod,web-12011;web-02584;web-07798;web-12755;web-09433;web-01223;web-07971;web-09724;web-07531;web-12873;web-08877;web-00634,app-general-650;app-general-626,
app-web-95,web service 95,frontend,staging,web-04548;web-05903;web-09463;web-13751;web-11145;web-07762;web-07660;web-12554;web-03200;web-12342;web-09649;web-02926,app-general-506;app-general-578,
