sys_id,name,hostname,fqdn,ip_address,os,os_version,ram_gb,cpus,company,environment,business_criticality,location,virtual,subnet,serial_number
SYS0034,srv-00035,srv-00035,srv-00035.dc1.corp,10.10.50.35,centos,7.9,14,2,Corp,prod,high,dc1,true,10.10.50.0/24,SN700034
SYS0035,app-00036,app-00036,app-00036.dc1.corp,10.10.57.178,ubuntu,22.04,15,6,Corp,prod,high,dc1,true,10.10.57.0/24,SN700035
SYS0036,app-00037,app-00037,app-00037.dc1.corp,10.10.58.240,ubuntu,22.04,12,6,Corp,prod,medium,dc1,true,10.10.58.0/24,SN700036
SYS0037,srv-00038,srv-00038,srv-00038.dc1.corp,10.10.56.106,ubuntu,22.04,7,7,Corp,prod,medium,dc1,true,10.10.56.0/24,SN700037
SYS0038,mon-00039,mon-00039,mon-00039.dc1.corp,10.10.22.202,ubuntu,22.04,5,2,Corp,staging,medium,dc1,true,10.10.22.0/24,SN700038
SYS0039,srv-00040,srv-00040,srv-00040.dc1.corp,10.10.55.122,ubuntu,22.04,6,4,Corp,staging,low,dc1,true,10.10.55.0/24,SN700039
SYS0040,app-00041,app-00041,app-00041.dc2.corp,10.20.43.51,ubuntu,22.04,8,4,Corp,staging,high,dc2,true,10.20.43.0/24,SN700040
SYS0041,app-00042,app-00042,app-00042.dc1.corp,10.10.54.139,centos,7.9,8,8,Corp,prod,medium,dc1,true,10.10.54.0/24,SN700041
SYS0042,app-00043,app-00043,app-00043.dc1.corp,10.10.28.90,ubuntu,22.04,13,3,Corp,dev,high,dc1,true,10.10.28.0/24,SN700042
SYS0043,web-00044,web-00044,web-00044.dc1.corp,10.10.34.238,centos,8.4,8,3,Corp,prod,medium,dc1,true,10.10.34.0/24,SN700043
SYS0044,hdop-00045,hdop-00045,hdop-00045.dc2.corp,10.20.21.171,centos,7.9,64,16,Corp,prod,medium,dc2,false,10.20.21.0/24,SN700044
SYS0045,db-00046,db-00046,db-00046.dc1.corp,10.10.43.242,oracle linux,8.6,57,13,Corp,prod,high,dc1,true,10.10.43.0/24,SN700045
SYS0046,k8s-w-00047,k8s-w-00047,k8s-w-00047.dc1.corp,10.10.39.169,ubuntu,22.04,64,16,Corp,prod,medium,dc1,false,10.10.39.0/24,SN700046
SYS0047,web-00048,web-00048,web-00048.dc3.corp,10.30.43.23,centos,8.4,7,4,Corp,staging,medium,dc3,true,10.30.43.0/24,SN700047
SYS0048,db-00049,db-00049,db-00049.dc1.corp,10.10.2.13,oracle linux,8.6,47,9,Corp,prod,high,dc1,true,10.10.2.0/24,SN700048
SYS0049,k8s-w-00050,k8s-w-00050,k8s-w-00050.dc1.corp,10.10.25.128,ubuntu,22.04,64,16,Corp,staging,medium,dc1,false,10.10.25.0/24,SN700049
SYS0050,app-00051,app-00051,app-00051.dc2.corp,10.20.15.47,rhel,8.6,16,2,Corp,staging,medium,dc2,true,10.20.15.0/24,SN700050
SYS0051,web-00052,web-00052,web-00052.dc1.corp,10.10.36.154,centos,8.4,7,2,Corp,prod,medium,dc1,true,10.10.36.0/24,SN700051
SYS0052,srv-00053,srv-00053,srv-00053.dc1.corp,10.10.29.231,windows,2019,15,6,Corp,staging,low,dc1,true,10.10.29.0/24,SN700052
SYS0053,mon-00054,mon-00054,mon-00054.dc2.corp,10.20.50.135,ubuntu,22.04,6,3,Corp,staging,high,dc2,true,10.20.50.0/24,SN700053
SYS0054,k8s-w-00055,k8s-w-00055,k8s-w-00055.dc1.corp,10.10.58.140,ubuntu,22.04,64,16,Corp,staging,medium,dc1,false,10.10.58.0/24,SN700054
SYS0055,app-00056,app-00056,app-00056.dc1.corp,10.10.35.121,ubuntu,22.04,6,7,Corp,staging,medium,dc1,true,10.10.35.0/24,SN700055
SYS0056,app-00057,app-00057,app-00057.dc2.corp,10.20.49.149,ubuntu,22.04,16,5,Corp,prod,low,dc2,true,10.20.49.0/24,SN700056
SYS0057,app-00058,app-00058,app-00058.dc2.corp,10.20.35.193,ubuntu,22.04,16,4,Corp,prod,low,dc2,true,10.20.35.0/24,SN700057
SYS0058,srv-00059,srv-00059,srv-00059.dc1.corp,10.10.43.175,ubuntu,22.04,7,5,Corp,prod,medium,dc1,true,10.10.43.0/24,SN700058
SYS0059,hdop-00060,hdop-00060,hdop-00060.dc1.corp,10.10.6.166,centos,7.9,64,16,Corp,dev,medium,dc1,false,10.10.6.0/24,SN700059
SYS0060,app-00061,app-00061,app-00061.dc1.corp,10.10.25.73,ubuntu,22.04,9,5,Corp,prod,medium,dc1,true,10.10.25.0/24,SN700060
SYS0061,app-00062,app-00062,app-00062.dc1.corp,10.10.15.168,centos,7.9,4,5,Corp,staging,low,dc1,true,10.10.15.0/24,SN700061
SYS0062,srv-00063,srv-00063,srv-00063.dc1.corp,10.10.8.146,ubuntu,22.04,4,3,Corp,prod,medium,dc1,true,10.10.8.0/24,SN700062
SYS0063,web-00064,web-00064,web-00064.dc3.corp,10.30.50.211,ubuntu,22.04,5,3,Corp,prod,medium,dc3,true,10.30.50.0/24,SN700063
SYS0064,srv-00065,srv-00065,srv-00065.dc1.corp,10.10.25.103,centos,7.9,4,6,Corp,dev,low,dc1,true,10.10.25.0/24,SN700064
SYS0065,app-00066,app-00066,app-00066.dc2.corp,10.20.44.155,rhel,8.6,14,8,Corp,prod,medium,dc2,true,10.20.44.0/24,SN700065
SYS0066,srv-00067,srv-00067,srv-00067.dc1.corp,10.10.1.219,debian,11,10,6,Corp,prod,medium,dc1,true,10.10.1.0/24,SN700066
SYS0067,srv-00068,srv-00068,srv-00068.dc2.corp,10.20.28.47,centos,7.9,9,5,Corp,prod,medium,dc2,true,10.20.28.0/24,SN700067
SYS0068,srv-00069,srv-00069,srv-00069.dc2.corp,10.20.53.189,debian,11,16,6,Corp,dev,medium,dc2,true,10.20.53.0/24,SN700068
SYS0069,app-00070,app-00070,app-00070.dc1.corp,10.10.37.158,centos,7.9,5,8,Corp,prod,medium,dc1,true,10.10.37.0/24,SN700069
SYS0070,app-00071,app-00071,app-00071.dc1.corp,10.10.22.73,ubuntu,22.04,9,8,Corp,prod,medium,dc1,true,10.10.22.0/24,SN700070
SYS0071,db-00072,db-00072,db-00072.dc1.corp,10.10.45.123,centos,7.9,47,9,Corp,staging,medium,dc1,true,10.10.45.0/24,SN700071
SYS0072,web-00073,web-00073,web-00073.dc2.corp,10.20.38.96,centos,8.4,6,2,Corp,prod,medium,dc2,true,10.20.38.0/24,SN700072
SYS0073,db-00074,db-00074,db-00074.dc1.corp,10.10.15.32,oracle linux,8.6,53,14,Corp,prod,medium,dc1,true,10.10.15.0/24,SN700073
SYS0074,app-00075,app-00075,app-00075.dc1.corp,10.10.18.187,rhel,8.6,16,6,Corp,prod,medium,dc1,true,10.10.18.0/24,SN700074
SYS0075,k8s-m-00076,k8s-m-00076,k8s-m-00076.dc1.corp,10.10.35.34,ubuntu,22.04,16,8,Corp,prod,high,dc1,false,10.10.35.0/24,SN700075
SYS0076,app-00077,app-00077,app-00077.dc1.corp,10.10.32.28,centos,7.9,8,6,Corp,prod,low,dc1,true,10.10.32.0/24,SN700076
SYS0077,app-00078,app-00078,app-00078.dc1.corp,10.10.31.31,ubuntu,22.04,9,5,Corp,prod,low,dc1,true,10.10.31.0/24,SN700077
SYS0078,db-00079,db-00079,db-00079.dc3.corp,10.30.16.32,centos,7.9,41,10,Corp,staging,high,dc3,true,10.30.16.0/24,SN700078
SYS0079,k8s-m-00080,k8s-m-00080,k8s-m-00080.dc1.corp,10.10.28.80,ubuntu,22.04,16,8,Corp,dev,medium,dc1,false,10.10.28.0/24,SN700079
SYS0080,k8s-w-00081,k8s-w-00081,k8s-w-00081.dc1.corp,10.10.36.21,ubuntu,22.04,64,16,Corp,prod,high,dc1,false,10.10.36.0/24,SN700080
SYS0081,web-00082,web-00082,web-00082.dc2.corp,10.20.30.20,ubuntu,22.04,4,3,Corp,prod,medium,dc2,true,10.20.30.0/24,SN700081
SYS0082,srv-00083,srv-00083,srv-00083.dc2.corp,10.20.53.38,ubuntu,22.04,5,5,Corp,prod,low,dc2,true,10.20.53.0/24,SN700082
SYS0083,app-00084,app-00084,app-00084.dc3.corp,10.30.30.178,ubuntu,22.04,15,6,Corp,staging,medium,dc3,true,10.30.30.0/24,SN700083
SYS0084,srv-00085,srv-00085,srv-00085.dc2.corp,10.20.39.66,windows,2019,5,5,Corp,prod,medium,dc2,true,10.20.39.0/24,SN700084
SYS0085,app-00086,app-00086,app-00086.dc1.corp,10.10.53.70,rhel,8.6,13,8,Corp,prod,medium,dc1,true,10.10.53.0/24,SN700085
SYS0086,srv-00087,srv-00087,srv-00087.dc3.corp,10.30.38.113,ubuntu,22.04,12,5,Corp,prod,high,dc3,true,10.30.38.0/24,SN700086
SYS0087,srv-00088,srv-00088,srv-00088.dc2.corp,10.20.22.107,windows,2019,10,4,Corp,prod,low,dc2,true,10.20.22.0/24,SN700087
SYS0088,app-00089,app-00089,app-00089.dc1.corp,10.10.21.31,ubuntu,22.04,16,8,Corp,prod,medium,dc1,true,10.10.21.0/24,SN700088
SYS0089,srv-00090,srv-00090,srv-00090.dc1.corp,10.10.40.195,centos,7.9,12,7,Corp,prod,medium,dc1,true,10.10.40.0/24,SN700089
SYS0090,k8s-w-00091,k8s-w-00091,k8s-w-00091.dc3.corp,10.30.45.126,ubuntu,22.04,64,16,Corp,prod,medium,dc3,false,10.30.45.0/24,SN700090
SYS0091,srv-00092,srv-00092,srv-00092.dc1.corp,10.10.15.217,ubuntu,22.04,6,7,Corp,prod,medium,dc1,true,10.10.15.0/24,SN700091
SYS0092,web-00093,web-00093,web-00093.dc2.corp,10.20.18.108,centos,8.4,5,4,Corp,prod,medium,dc2,true,10.20.18.0/24,SN700092
SYS0093,srv-00094,srv-00094,srv-00094.dc1.corp,10.10.48.227,ubuntu,22.04,12,5,Corp,prod,medium,dc1,true,10.10.48.0/24,SN700093
SYS0094,srv-00095,srv-00095,srv-00095.dc1.corp,10.10.18.212,debian,11,16,8,Corp,staging,medium,dc1,true,10.10.18.0/24,SN700094
SYS0095,app-00096,app-00096,app-00096.dc2.corp,10.20.29.139,ubuntu,22.04,13,8,Corp,prod,low,dc2,true,10.20.29.0/24,SN700095
SYS0096,app-00097,app-00097,app-00097.dc2.corp,10.20.16.148,rhel,8.6,11,5,Corp,dev,low,dc2,true,10.20.16.0/24,SN700096
SYS0097,srv-00098,srv-00098,srv-00098.dc2.corp,10.20.25.171,windows,2019,9,2,Corp,staging,low,dc2,true,10.20.25.0/24,SN700097
SYS0098,db-00099,db-00099,db-00099.dc1.corp,10.10.55.114,centos,7.9,64,10,Corp,dev,high,dc1,true,10.10.55.0/24,SN700098
SYS0099,srv-00100,srv-00100,srv-00100.dc2.corp,10.20.31.202,centos,7.9,6,7,Corp,prod,high,dc2,true,10.20.31.0/24,SN700099
SYS0100,app-00101,app-00101,app-00101.dc1.corp,10.10.35.99,rhel,8.6,14,5,Corp,prod,medium,dc1,true,10.10.35.0/24,SN700100
SYS0101,hdop-00102,hdop-00102,hdop-00102.dc2.corp,10.20.15.193,centos,7.9,64,16,Corp,prod,high,dc2,false,10.20.15.0/24,SN700101
SYS0102,srv-00103,srv-00103,srv-00103.dc3.corp,10.30.51.16,centos,7.9,6,5,Corp,prod,high,dc3,true,10.30.51.0/24,SN700102
SYS0103,app-00104,app-00104,app-00104.dc1.corp,10.10.11.46,ubuntu,22.04,7,3,Corp,prod,medium,dc1,true,10.10.11.0/24,SN700103
SYS0104,srv-00105,srv-00105,srv-00105.dc1.corp,10.10.17.172,ubuntu,22.04,13,5,Corp,prod,high,dc1,true,10.10.17.0/24,SN700104
SYS0105,srv-00106,srv-00106,srv-00106.dc1.corp,10.10.38.78,windows,2019,14,4,Corp,prod,low,dc1,true,10.10.38.0/24,SN700105
SYS0106,hdop-00107,hdop-00107,hdop-00107.dc2.corp,10.20.25.148,centos,7.9,64,16,Corp,dev,high,dc2,false,10.20.25.0/24,SN700106
SYS0107,srv-00108,srv-00108,srv-00108.dc1.corp,10.10.50.192,debian,11,14,2,Corp,prod,low,dc1,true,10.10.50.0/24,SN700107
SYS0108,srv-00109,srv-00109,srv-00109.dc1.corp,10.10.15.164,windows,2019,8,8,Corp,staging,low,dc1,true,10.10.15.0/24,SN700108
SYS0109,k8s-w-00110,k8s-w-00110,k8s-w-00110.dc1.corp,10.10.47.35,ubuntu,22.04,64,16,Corp,prod,medium,dc1,false,10.10.47.0/24,SN700109
SYS0110,app-00111,app-00111,app-00111.dc1.corp,10.10.34.130,ubuntu,22.04,7,3,Corp,prod,low,dc1,true,10.10.34.0/24,SN700110
SYS0111,app-00112,app-00112,app-00112.dc1.corp,10.10.5.38,ubuntu,22.04,8,8,Corp,staging,high,dc1,true,10.10.5.0/24,SN700111
SYS0112,srv-00113,srv-00113,srv-00113.dc1.corp,10.10.17.139,windows,2019,16,8,Corp,prod,medium,dc1,true,10.10.17.0/24,SN700112
SYS0113,web-00114,web-00114,web-00114.dc3.corp,10.30.15.122,ubuntu,22.04,7,4,Corp,staging,high,dc3,true,10.30.15.0/24,SN700113
SYS0114,k8s-w-00115,k8s-w-00115,k8s-w-00115.dc1.corp,10.10.42.106,ubuntu,22.04,64,16,Corp,prod,medium,dc1,false,10.10.42.0/24,SN700114
SYS0115,app-00116,app-00116,app-00116.dc1.corp,10.10.25.118,centos,7.9,11,4,Corp,prod,medium,dc1,true,10.10.25.0/24,SN700115
SYS0116,web-00117,web-00117,web-00117.dc2.corp,10.20.18.10,centos,8.4,4,3,Corp,staging,low,dc2,true,10.20.18.0/24,SN700116
SYS0117,app-00118,app-00118,app-00118.dc2.corp,10.20.42.93,ubuntu,22.04,9,3,Corp,prod,medium,dc2,true,10.20.42.0/24,SN700117
SYS0118,app-00119,app-00119,app-00119.dc1.corp,10.10.2.14,centos,7.9,11,8,Corp,prod,medium,dc1,true,10.10.2.0/24,SN700118
SYS0119,app-00120,app-00120,app-00120.dc2.corp,10.20.38.57,centos,7.9,13,8,Corp,prod,medium,dc2,true,10.20.38.0/24,SN700119
SYS0120,srv-00121,srv-00121,srv-00121.dc1.corp,10.10.8.171,centos,7.9,6,4,Corp,dev,medium,dc1,true,10.10.8.0/24,SN700120
SYS0121,app-00122,app-00122,app-00122.dc1.corp,10.10.4.34,ubuntu,22.04,16,8,Corp,prod,high,dc1,true,10.10.4.0/24,SN700121
SYS0122,db-00123,db-00123,db-00123.dc1.corp,10.10.33.58,centos,7.9,60,15,Corp,staging,high,dc1,true,10.10.33.0/24,SN700122
SYS0123,hdop-00124,hdop-00124,hdop-00124.dc1.corp,10.10.44.29,centos,7.9,64,16,Corp,prod,medium,dc1,false,10.10.44.0/24,SN700123
SYS0124,app-00125,app-00125,app-00125.dc1.corp,10.10.38.142,centos,7.9,13,4,Corp,prod,medium,dc1,true,10.10.38.0/24,SN700124
SYS0125,web-00126,web-00126,web-00126.dc1.corp,10.10.55.169,ubuntu,22.04,8,3,Corp,prod,medium,dc1,true,10.10.55.0/24,SN700125
SYS0126,hdop-00127,hdop-00127,hdop-00127.dc1.corp,10.10.26.108,centos,7.9,64,16,Corp,staging,low,dc1,false,10.10.26.0/24,SN700126
SYS0127,web-00128,web-00128,web-00128.dc1.corp,10.10.6.25,ubuntu,22.04,5,3,Corp,prod,high,dc1,true,10.10.6.0/24,SN700127
SYS0128,app-00129,app-00129,app-00129.dc1.corp,10.10.36.86,rhel,8.6,16,4,Corp,prod,low,dc1,true,10.10.36.0/24,SN700128
SYS0129,web-00130,web-00130,web-00130.dc2.corp,10.20.37.131,ubuntu,22.04,4,4,Corp,dev,medium,dc2,true,10.20.37.0/24,SN700129
SYS0130,app-00131,app-00131,app-00131.dc1.corp,10.10.18.148,ubuntu,22.04,5,3,Corp,prod,high,dc1,true,10.10.18.0/24,SN700130
SYS0131,srv-00132,srv-00132,srv-00132.dc1.corp,10.10.45.197,centos,7.9,14,6,Corp,staging,high,dc1,true,10.10.45.0/24,SN700131
SYS0132,srv-00133,srv-00133,srv-00133.dc1.corp,10.10.10.191,debian,11,6,2,Corp,staging,medium,dc1,true,10.10.10.0/24,SN700132
SYS0133,app-00134,app-00134,app-00134.dc1.corp,10.10.47.85,rhel,8.6,10,3,Corp,prod,medium,dc1,true,10.10.47.0/24,SN700133
SYS0134,k8s-m-00135,k8s-m-00135,k8s-m-00135.dc1.corp,10.10.29.171,ubuntu,22.04,16,8,Corp,staging,high,dc1,false,10.10.29.0/24,SN700134
SYS0135,db-00136,db-00136,db-00136.dc1.corp,10.10.8.74,oracle linux,8.6,49,14,Corp,prod,medium,dc1,true,10.10.8.0/24,SN700135
SYS0136,db-00137,db-00137,db-00137.dc1.corp,10.10.20.244,oracle linux,8.6,46,8,Corp,prod,high,dc1,true,10.10.20.0/24,SN700136
SYS0137,srv-00138,srv-00138,srv-00138.dc2.corp,10.20.25.138,debian,11,5,4,Corp,prod,high,dc2,true,10.20.25.0/24,SN700137
SYS0138,db-00139,db-00139,db-00139.dc1.corp,10.10.59.21,oracle linux,8.6,57,9,Corp,staging,high,dc1,true,10.10.59.0/24,SN700138
SYS0139,web-00140,web-00140,web-00140.dc1.corp,10.10.11.207,ubuntu,22.04,7,4,Corp,prod,low,dc1,true,10.10.11.0/24,SN700139
SYS0140,web-00141,web-00141,web-00141.dc1.corp,10.10.34.22,ubuntu,22.04,7,2,Corp,staging,medium,dc1,true,10.10.34.0/24,SN700140
SYS0141,srv-00142,srv-00142,srv-00142.dc1.corp,10.10.34.132,debian,11,9,3,Corp,staging,medium,dc1,true,10.10.34.0/24,SN700141
SYS0142,srv-00143,srv-00143,srv-00143.dc2.corp,10.20.7.39,debian,11,15,4,Corp,dev,high,dc2,true,10.20.7.0/24,SN700142
SYS0143,app-00144,app-00144,app-00144.dc1.corp,10.10.41.128,rhel,8.6,16,3,Corp,staging,low,dc1,true,10.10.41.0/24,SN700143
SYS0144,srv-00145,srv-00145,srv-00145.dc3.corp,10.30.41.82,windows,2019,13,7,Corp,prod,medium,dc3,true,10.30.41.0/24,SN700144
SYS0145,web-00146,web-00146,web-00146.dc1.corp,10.10.5.81,ubuntu,22.04,6,3,Corp,staging,medium,dc1,true,10.10.5.0/24,SN700145
SYS0146,web-00147,web-00147,web-00147.dc2.corp,10.20.40.154,centos,8.4,6,3,Corp,prod,low,dc2,true,10.20.40.0/24,SN700146
SYS0147,web-00148,web-00148,web-00148.dc1.corp,10.10.10.247,centos,8.4,8,3,Corp,prod,medium,dc1,true,10.10.10.0/24,SN700147
SYS0148,web-00149,web-00149,web-00149.dc1.corp,10.10.29.114,ubuntu,22.04,4,4,Corp,prod,high,dc1,true,10.10.29.0/24,SN700148
SYS0149,db-00150,db-00150,db-00150.dc1.corp,10.10.44.155,centos,7.9,55,13,Corp,dev,medium,dc1,true,10.10.44.0/24,SN700149
SYS0150,k8s-w-00151,k8s-w-00151,k8s-w-00151.dc1.corp,10.10.55.170,ubuntu,22.04,64,16,Corp,prod,high,dc1,false,10.10.55.0/24,SN700150
SYS0151,app-00152,app-00152,app-00152.dc1.corp,10.10.43.102,rhel,8.6,6,7,Corp,dev,medium,dc1,true,10.10.43.0/24,SN700151
SYS0152,hdop-00153,hdop-00153,hdop-00153.dc1.corp,10.10.45.214,centos,7.9,64,16,Corp,prod,high,dc1,false,10.10.45.0/24,SN700152
SYS0153,app-00154,app-00154,app-00154.dc1.corp,10.10.14.89,rhel,8.6,12,5,Corp,prod,high,dc1,true,10.10.14.0/24,SN700153
SYS0154,app-00155,app-00155,app-00155.dc2.corp,10.20.35.215,centos,7.9,5,3,Corp,prod,medium,dc2,true,10.20.35.0/24,SN700154
SYS0155,app-00156,app-00156,app-00156.dc1.corp,10.10.54.179,ubuntu,22.04,13,8,Corp,prod,high,dc1,true,10.10.54.0/24,SN700155
SYS0156,srv-00157,srv-00157,srv-00157.dc1.corp,10.10.29.158,ubuntu,22.04,11,7,Corp,prod,medium,dc1,true,10.10.29.0/24,SN700156
SYS0157,srv-00158,srv-00158,srv-00158.dc3.corp,10.30.58.215,windows,2019,12,3,Corp,prod,medium,dc3,true,10.30.58.0/24,SN700157
SYS0158,app-00159,app-00159,app-00159.dc2.corp,10.20.27.249,rhel,8.6,11,5,Corp,staging,medium,dc2,true,10.20.27.0/24,SN700158
SYS0159,srv-00160,srv-00160,srv-00160.dc1.corp,10.10.60.28,ubuntu,22.04,8,8,Corp,prod,medium,dc1,true,10.10.60.0/24,SN700159
SYS0160,srv-00161,srv-00161,srv-00161.dc1.corp,10.10.54.113,debian,11,16,2,Corp,prod,medium,dc1,true,10.10.54.0/24,SN700160
SYS0161,srv-00162,srv-00162,srv-00162.dc3.corp,10.30.26.130,ubuntu,22.04,11,8,Corp,staging,medium,dc3,true,10.30.26.0/24,SN700161
SYS0162,app-00163,app-00163,app-00163.dc3.corp,10.30.42.87,centos,7.9,7,4,Corp,prod,low,dc3,true,10.30.42.0/24,SN700162
SYS0163,app-00164,app-00164,app-00164.dc1.corp,10.10.29.159,ubuntu,22.04,11,8,Corp,prod,medium,dc1,true,10.10.29.0/24,SN700163
SYS0164,app-00165,app-00165,app-00165.dc2.corp,10.20.8.200,centos,7.9,6,8,Corp,prod,medium,dc2,true,10.20.8.0/24,SN700164
SYS0165,app-00166,app-00166,app-00166.dc2.corp,10.20.54.233,centos,7.9,10,3,Corp,prod,high,dc2,true,10.20.54.0/24,SN700165
SYS0166,db-00167,db-00167,db-00167.dc2.corp,10.20.27.49,centos,7.9,50,10,Corp,prod,high,dc2,true,10.20.27.0/24,SN700166
SYS0167,db-00168,db-00168,db-00168.dc1.corp,10.10.56.122,oracle linux,8.6,64,9,Corp,staging,high,dc1,true,10.10.56.0/24,SN700167
SYS0168,srv-00169,srv-00169,srv-00169.dc1.corp,10.10.43.162,debian,11,4,7,Corp,prod,high,dc1,true,10.10.43.0/24,SN700168
SYS0169,srv-00170,srv-00170,srv-00170.dc1.corp,10.10.54.201,debian,11,4,3,Corp,prod,medium,dc1,true,10.10.54.0/24,SN700169
SYS0170,srv-00171,srv-00171,srv-00171.dc1.corp,10.10.30.11,windows,2019,6,7,Corp,staging,medium,dc1,true,10.10.30.0/24,SN700170
