VM,PowerState,OS according to the configuration file,CPUs,Memory,Provisioned (GB),Used (GB),Datacenter,Cluster,Host,Network #1,IP Address #1,Folder
web-00117,poweredOn,centos 8.4,3,4096,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan57,10.20.18.10,/staging/web
app-00118,poweredOn,ubuntu 22.04,3,9216,133,66.5,dc2,cl-app,cl-app-esx01,dvPG-vlan60,10.20.42.93,/prod/app
app-00119,poweredOn,centos 7.9,8,11264,180,90.0,dc1,cl-app,cl-app-esx01,dvPG-vlan52,10.10.2.14,/prod/app
app-00120,poweredOn,centos 7.9,8,13312,144,72.0,dc2,cl-app,cl-app-esx01,dvPG-vlan52,10.20.38.57,/prod/app
srv-00121,poweredOn,centos 7.9,4,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan13,10.10.8.171,/dev/general
app-00122,poweredOn,ubuntu 22.04,8,16384,177,88.5,dc1,cl-app,cl-app-esx01,dvPG-vlan63,10.10.4.34,/prod/app
db-00123,poweredOn,centos 7.9,15,61440,489,244.5,dc1,cl-db,cl-db-esx01,dvPG-vlan15,10.10.33.58,/staging/db
app-00125,poweredOn,centos 7.9,4,13312,175,87.5,dc1,cl-app,cl-app-esx01,dvPG-vlan51,10.10.38.142,/prod/app
web-00126,poweredOn,ubuntu 22.04,3,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan80,10.10.55.169,/prod/web
web-00128,poweredOn,ubuntu 22.04,3,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan65,10.10.6.25,/prod/web
app-00129,poweredOn,rhel 8.6,4,16384,172,86.0,dc1,cl-app,cl-app-esx01,dvPG-vlan25,10.10.36.86,/prod/app
web-00130,poweredOn,ubuntu 22.04,4,4096,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan37,10.20.37.131,/dev/web
app-00131,poweredOn,ubuntu 22.04,3,5120,144,72.0,dc1,cl-app,cl-app-esx01,dvPG-vlan64,10.10.18.148,/prod/app
srv-00132,poweredOn,centos 7.9,6,14336,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan49,10.10.45.197,/staging/general
srv-00133,poweredOn,debian 11,2,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan13,10.10.10.191,/staging/general
app-00134,poweredOn,rhel 8.6,3,10240,179,89.5,dc1,cl-app,cl-app-esx01,dvPG-vlan82,10.10.47.85,/prod/app
db-00136,poweredOn,oracle linux 8.6,14,50176,493,246.5,dc1,cl-db,cl-db-esx01,dvPG-vlan85,10.10.8.74,/prod/db
db-00137,poweredOn,oracle linux 8.6,8,47104,463,231.5,dc1,cl-db,cl-db-esx01,dvPG-vlan27,10.10.20.244,/prod/db
srv-00138,poweredOn,debian 11,4,5120,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan39,10.20.25.138,/prod/general
db-00139,poweredOn,oracle linux 8.6,9,58368,470,235.0,dc1,cl-db,cl-db-esx01,dvPG-vlan83,10.10.59.21,/staging/db
web-00140,poweredOn,ubuntu 22.04,4,7168,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan89,10.10.11.207,/prod/web
web-00141,poweredOn,ubuntu 22.04,2,7168,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan60,10.10.34.22,/staging/web
srv-00142,poweredOn,debian 11,3,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan34,10.10.34.132,/staging/general
srv-00143,poweredOn,debian 11,4,15360,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan42,10.20.7.39,/dev/general
app-00144,poweredOn,rhel 8.6,3,16384,159,79.5,dc1,cl-app,cl-app-esx01,dvPG-vlan82,10.10.41.128,/staging/app
srv-00145,poweredOn,2019,7,13312,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan29,10.30.41.82,/prod/general
web-00146,poweredOn,ubuntu 22.04,3,6144,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan69,10.10.5.81,/staging/web
web-00147,poweredOn,centos 8.4,3,6144,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan74,10.20.40.154,/prod/web
web-00148,poweredOn,centos 8.4,3,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan17,10.10.10.247,/prod/web
web-00149,poweredOn,ubuntu 22.04,4,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan77,10.10.29.114,/prod/web
db-00150,poweredOn,centos 7.9,13,56320,453,226.5,dc1,cl-db,cl-db-esx01,dvPG-vlan90,10.10.44.155,/dev/db
app-00152,poweredOn,rhel 8.6,7,6144,138,69.0,dc1,cl-app,cl-app-esx01,dvPG-vlan86,10.10.43.102,/dev/app
app-00154,poweredOn,rhel 8.6,5,12288,179,89.5,dc1,cl-app,cl-app-esx01,dvPG-vlan72,10.10.14.89,/prod/app
app-00155,poweredOn,centos 7.9,3,5120,177,88.5,dc2,cl-app,cl-app-esx01,dvPG-vlan77,10.20.35.215,/prod/app
app-00156,poweredOn,ubuntu 22.04,8,13312,179,89.5,dc1,cl-app,cl-app-esx01,dvPG-vlan89,10.10.54.179,/prod/app
srv-00157,poweredOn,ubuntu 22.04,7,11264,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan46,10.10.29.158,/prod/general
srv-00158,poweredOn,2019,3,12288,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan34,10.30.58.215,/prod/general
app-00159,poweredOn,rhel 8.6,5,11264,140,70.0,dc2,cl-app,cl-app-esx01,dvPG-vlan35,10.20.27.249,/staging/app
srv-00160,poweredOn,ubuntu 22.04,8,8192,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan76,10.10.60.28,/prod/general
srv-00161,poweredOn,debian 11,2,16384,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan21,10.10.54.113,/prod/general
srv-00162,poweredOn,ubuntu 22.04,8,11264,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan57,10.30.26.130,/staging/general
app-00163,poweredOn,centos 7.9,4,7168,180,90.0,dc3,cl-app,cl-app-esx01,dvPG-vlan28,10.30.42.87,/prod/app
app-00164,poweredOn,ubuntu 22.04,8,11264,130,65.0,dc1,cl-app,cl-app-esx01,dvPG-vlan20,10.10.29.159,/prod/app
app-00165,poweredOn,centos 7.9,8,6144,148,74.0,dc2,cl-app,cl-app-esx01,dvPG-vlan40,10.20.8.200,/prod/app
app-00166,poweredOn,centos 7.9,3,10240,161,80.5,dc2,cl-app,cl-app-esx01,dvPG-vlan86,10.20.54.233,/prod/app
db-00167,poweredOn,centos 7.9,10,51200,492,246.0,dc2,cl-db,cl-db-esx01,dvPG-vlan20,10.20.27.49,/prod/db
db-00168,poweredOn,oracle linux 8.6,9,65536,452,226.0,dc1,cl-db,cl-db-esx01,dvPG-vlan59,10.10.56.122,/staging/db
srv-00169,poweredOn,debian 11,7,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan23,10.10.43.162,/prod/general
srv-00170,poweredOn,debian 11,3,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan69,10.10.54.201,/prod/general
srv-00171,poweredOn,2019,7,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan47,10.10.30.11,/staging/general
app-00172,poweredOn,centos 7.9,2,9216,146,73.0,dc1,cl-app,cl-app-esx01,dvPG-vlan14,10.10.35.123,/dev/app
srv-00173,poweredOn,ubuntu 22.04,4,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan57,10.10.18.33,/staging/general
web-00174,poweredOn,ubuntu 22.04,4,7168,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan73,10.10.32.179,/staging/web
app-00175,poweredOn,rhel 8.6,4,16384,164,82.0,dc1,cl-app,cl-app-esx01,dvPG-vlan47,10.10.53.48,/prod/app
app-00176,poweredOn,centos 7.9,4,14336,158,79.0,dc1,cl-app,cl-app-esx01,dvPG-vlan54,10.10.11.178,/prod/app
web-00177,poweredOn,ubuntu 22.04,4,7168,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan61,10.30.5.173,/prod/web
app-00178,poweredOn,rhel 8.6,7,6144,132,66.0,dc1,cl-app,cl-app-esx01,dvPG-vlan26,10.10.51.114,/dev/app
app-00179,poweredOn,rhel 8.6,4,9216,153,76.5,dc1,cl-app,cl-app-esx01,dvPG-vlan57,10.10.44.117,/prod/app
web-00180,poweredOn,centos 8.4,4,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan24,10.10.16.247,/prod/web
app-00181,poweredOn,centos 7.9,5,12288,158,79.0,dc1,cl-app,cl-app-esx01,dvPG-vlan37,10.10.17.182,/prod/app
srv-00182,poweredOn,debian 11,7,11264,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan66,10.10.12.232,/prod/general
srv-00183,poweredOn,debian 11,7,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan30,10.10.20.219,/staging/general
cache-00185,poweredOn,centos 7.9,4,18432,40,20.0,dc1,cl-cache,cl-cache-esx01,dvPG-vlan62,10.10.31.136,/prod/cache
srv-00186,poweredOn,centos 7.9,3,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan80,10.10.23.34,/prod/general
app-00188,poweredOn,rhel 8.6,3,9216,142,71.0,dc1,cl-app,cl-app-esx01,dvPG-vlan80,10.10.6.66,/dev/app
app-00189,poweredOn,rhel 8.6,4,13312,140,70.0,dc1,cl-app,cl-app-esx01,dvPG-vlan89,10.10.38.41,/prod/app
web-00191,poweredOn,centos 8.4,3,8192,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan61,10.30.52.208,/prod/web
app-00192,poweredOn,centos 7.9,7,4096,139,69.5,dc1,cl-app,cl-app-esx01,dvPG-vlan50,10.10.22.157,/prod/app
srv-00193,poweredOn,debian 11,7,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan50,10.10.36.29,/dev/general
app-00194,poweredOn,centos 7.9,4,11264,169,84.5,dc1,cl-app,cl-app-esx01,dvPG-vlan63,10.10.25.223,/prod/app
app-00195,poweredOn,centos 7.9,8,9216,162,81.0,dc2,cl-app,cl-app-esx01,dvPG-vlan69,10.20.11.129,/dev/app
db-00196,poweredOn,oracle linux 8.6,15,33792,487,243.5,dc1,cl-db,cl-db-esx01,dvPG-vlan55,10.10.16.57,/prod/db
app-00197,poweredOn,ubuntu 22.04,5,13312,136,68.0,dc2,cl-app,cl-app-esx01,dvPG-vlan65,10.20.35.4,/staging/app
app-00198,poweredOn,ubuntu 22.04,7,9216,142,71.0,dc1,cl-app,cl-app-esx01,dvPG-vlan56,10.10.37.145,/staging/app
db-00199,poweredOn,centos 7.9,14,65536,489,244.5,dc1,cl-db,cl-db-esx01,dvPG-vlan25,10.10.40.176,/prod/db
app-00200,poweredOn,centos 7.9,5,9216,142,71.0,dc1,cl-app,cl-app-esx01,dvPG-vlan87,10.10.49.38,/staging/app
db-00201,poweredOn,centos 7.9,8,34816,488,244.0,dc1,cl-db,cl-db-esx01,dvPG-vlan75,10.10.30.40,/prod/db
app-00202,poweredOn,rhel 8.6,4,6144,162,81.0,dc2,cl-app,cl-app-esx01,dvPG-vlan75,10.20.38.88,/prod/app
db-00203,poweredOn,oracle linux 8.6,15,33792,500,250.0,dc2,cl-db,cl-db-esx01,dvPG-vlan90,10.20.38.80,/prod/db
app-00204,poweredOn,ubuntu 22.04,4,14336,167,83.5,dc2,cl-app,cl-app-esx01,dvPG-vlan71,10.20.47.15,/staging/app
app-00205,poweredOn,rhel 8.6,7,13312,166,83.0,dc1,cl-app,cl-app-esx01,dvPG-vlan24,10.10.16.10,/staging/app
app-00206,poweredOn,ubuntu 22.04,4,10240,160,80.0,dc2,cl-app,cl-app-esx01,dvPG-vlan17,10.20.50.158,/prod/app
app-00210,poweredOn,ubuntu 22.04,8,9216,175,87.5,dc2,cl-app,cl-app-esx01,dvPG-vlan20,10.20.19.246,/dev/app
app-00211,poweredOn,ubuntu 22.04,7,8192,165,82.5,dc1,cl-app,cl-app-esx01,dvPG-vlan44,10.10.18.240,/staging/app
app-00212,poweredOn,rhel 8.6,7,13312,144,72.0,dc1,cl-app,cl-app-esx01,dvPG-vlan16,10.10.15.165,/prod/app
app-00213,poweredOn,ubuntu 22.04,7,11264,140,70.0,dc2,cl-app,cl-app-esx01,dvPG-vlan62,10.20.36.239,/prod/app
app-00216,poweredOn,rhel 8.6,8,8192,151,75.5,dc1,cl-app,cl-app-esx01,dvPG-vlan46,10.10.7.239,/staging/app
web-00217,poweredOn,ubuntu 22.04,2,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan68,10.10.11.189,/prod/web
srv-00219,poweredOn,debian 11,2,10240,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan41,10.10.21.241,/prod/general
app-00220,poweredOn,ubuntu 22.04,3,11264,130,65.0,dc3,cl-app,cl-app-esx01,dvPG-vlan43,10.30.47.148,/staging/app
srv-00223,poweredOn,ubuntu 22.04,8,7168,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan77,10.10.34.116,/prod/general
web-00225,poweredOn,centos 8.4,4,8192,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan26,10.20.4.118,/prod/web
db-00226,poweredOn,oracle linux 8.6,8,62464,450,225.0,dc1,cl-db,cl-db-esx01,dvPG-vlan37,10.10.17.211,/prod/db
cache-00227,poweredOn,centos 7.9,4,27648,40,20.0,dc1,cl-cache,cl-cache-esx01,dvPG-vlan70,10.10.58.19,/staging/cache
