VM,Network,IP Address,Connected,MAC Address
web-00130,dvPG-vlan37,10.20.37.131,TRUE,00:50:56:6d:6d:6d
app-00131,dvPG-vlan64,10.10.18.148,TRUE,00:50:56:72:72:72
srv-00132,dvPG-vlan49,10.10.45.197,TRUE,00:50:56:8c:8c:8c
srv-00133,dvPG-vlan13,10.10.10.191,TRUE,00:50:56:f5:f5:f5
app-00134,dvPG-vlan82,10.10.47.85,TRUE,00:50:56:21:21:21
db-00136,dvPG-vlan85,10.10.8.74,TRUE,00:50:56:86:86:86
db-00137,dvPG-vlan27,10.10.20.244,TRUE,00:50:56:4d:4d:4d
srv-00138,dvPG-vlan39,10.20.25.138,TRUE,00:50:56:90:90:90
db-00139,dvPG-vlan83,10.10.59.21,TRUE,00:50:56:2f:2f:2f
web-00140,dvPG-vlan89,10.10.11.207,TRUE,00:50:56:42:42:42
web-00141,dvPG-vlan60,10.10.34.22,TRUE,00:50:56:d4:d4:d4
srv-00142,dvPG-vlan34,10.10.34.132,TRUE,00:50:56:91:91:91
srv-00143,dvPG-vlan42,10.20.7.39,TRUE,00:50:56:52:52:52
app-00144,dvPG-vlan82,10.10.41.128,TRUE,00:50:56:0d:0d:0d
srv-00145,dvPG-vlan29,10.30.41.82,TRUE,00:50:56:d7:d7:d7
web-00146,dvPG-vlan69,10.10.5.81,TRUE,00:50:56:87:87:87
web-00147,dvPG-vlan74,10.20.40.154,TRUE,00:50:56:e0:e0:e0
web-00148,dvPG-vlan17,10.10.10.247,TRUE,00:50:56:a5:a5:a5
web-00149,dvPG-vlan77,10.10.29.114,TRUE,00:50:56:41:41:41
db-00150,dvPG-vlan90,10.10.44.155,TRUE,00:50:56:d2:d2:d2
app-00152,dvPG-vlan86,10.10.43.102,TRUE,00:50:56:86:86:86
app-00154,dvPG-vlan72,10.10.14.89,TRUE,00:50:56:19:19:19
app-00155,dvPG-vlan77,10.20.35.215,TRUE,00:50:56:06:06:06
app-00156,dvPG-vlan89,10.10.54.179,TRUE,00:50:56:b2:b2:b2
srv-00157,dvPG-vlan46,10.10.29.158,TRUE,00:50:56:12:12:12
srv-00158,dvPG-vlan34,10.30.58.215,TRUE,00:50:56:f7:f7:f7
app-00159,dvPG-vlan35,10.20.27.249,TRUE,00:50:56:65:65:65
srv-00160,dvPG-vlan76,10.10.60.28,TRUE,00:50:56:2e:2e:2e
srv-00161,dvPG-vlan21,10.10.54.113,TRUE,00:50:56:de:de:de
srv-00162,dvPG-vlan57,10.30.26.130,TRUE,00:50:56:22:22:22
app-00163,dvPG-vlan28,10.30.42.87,TRUE,00:50:56:5c:5c:5c
app-00164,dvPG-vlan20,10.10.29.159,TRUE,00:50:56:4c:4c:4c
app-00165,dvPG-vlan40,10.20.8.200,TRUE,00:50:56:7f:7f:7f
app-00166,dvPG-vlan86,10.20.54.233,TRUE,00:50:56:da:da:da
db-00167,dvPG-vlan20,10.20.27.49,TRUE,00:50:56:26:26:26
db-00168,dvPG-vlan59,10.10.56.122,TRUE,00:50:56:61:61:61
srv-00169,dvPG-vlan23,10.10.43.162,TRUE,00:50:56:ad:ad:ad
srv-00170,dvPG-vlan69,10.10.54.201,TRUE,00:50:56:23:23:23
srv-00171,dvPG-vlan47,10.10.30.11,TRUE,00:50:56:b1:b1:b1
app-00172,dvPG-vlan14,10.10.35.123,TRUE,00:50:56:20:20:20
srv-00173,dvPG-vlan57,10.10.18.33,TRUE,00:50:56:69:69:69
web-00174,dvPG-vlan73,10.10.32.179,TRUE,00:50:56:d6:d6:d6
app-00175,dvPG-vlan47,10.10.53.48,TRUE,00:50:56:c8:c8:c8
app-00176,dvPG-vlan54,10.10.11.178,TRUE,00:50:56:7f:7f:7f
web-00177,dvPG-vlan61,10.30.5.173,TRUE,00:50:56:ea:ea:ea
app-00178,dvPG-vlan26,10.10.51.114,TRUE,00:50:56:50:50:50
app-00179,dvPG-vlan57,10.10.44.117,TRUE,00:50:56:69:69:69
web-00180,dvPG-vlan24,10.10.16.247,TRUE,00:50:56:75:75:75
app-00181,dvPG-vlan37,10.10.17.182,TRUE,00:50:56:a9:a9:a9
srv-00182,dvPG-vlan66,10.10.12.232,TRUE,00:50:56:ff:ff:ff
srv-00183,dvPG-vlan30,10.10.20.219,TRUE,00:50:56:c9:c9:c9
cache-00185,dvPG-vlan62,10.10.31.136,TRUE,00:50:56:41:41:41
srv-00186,dvPG-vlan80,10.10.23.34,TRUE,00:50:56:a0:a0:a0
app-00188,dvPG-vlan80,10.10.6.66,TRUE,00:50:56:be:be:be
app-00189,dvPG-vlan89,10.10.38.41,TRUE,00:50:56:19:19:19
web-00191,dvPG-vlan61,10.30.52.208,TRUE,00:50:56:9d:9d:9d
app-00192,dvPG-vlan50,10.10.22.157,TRUE,00:50:56:82:82:82
srv-00193,dvPG-vlan50,10.10.36.29,TRUE,00:50:56:21:21:21
app-00194,dvPG-vlan63,10.10.25.223,TRUE,00:50:56:cc:cc:cc
app-00195,dvPG-vlan69,10.20.11.129,TRUE,00:50:56:fe:fe:fe
db-00196,dvPG-vlan55,10.10.16.57,TRUE,00:50:56:9d:9d:9d
app-00197,dvPG-vlan65,10.20.35.4,TRUE,00:50:56:cf:cf:cf
app-00198,dvPG-vlan56,10.10.37.145,TRUE,00:50:56:e9:e9:e9
db-00199,dvPG-vlan25,10.10.40.176,TRUE,00:50:56:40:40:40
app-00200,dvPG-vlan87,10.10.49.38,TRUE,00:50:56:9d:9d:9d
db-00201,dvPG-vlan75,10.10.30.40,TRUE,00:50:56:99:99:99
app-00202,dvPG-vlan75,10.20.38.88,TRUE,00:50:56:10:10:10
db-00203,dvPG-vlan90,10.20.38.80,TRUE,00:50:56:b1:b1:b1
app-00204,dvPG-vlan71,10.20.47.15,TRUE,00:50:56:1f:1f:1f
app-00205,dvPG-vlan24,10.10.16.10,TRUE,00:50:56:fb:fb:fb
app-00206,dvPG-vlan17,10.20.50.158,TRUE,00:50:56:ce:ce:ce
app-00210,dvPG-vlan20,10.20.19.246,TRUE,00:50:56:64:64:64
app-00211,dvPG-vlan44,10.10.18.240,TRUE,00:50:56:f2:f2:f2
app-00212,dvPG-vlan16,10.10.15.165,TRUE,00:50:56:e4:e4:e4
app-00213,dvPG-vlan62,10.20.36.239,TRUE,00:50:56:cd:cd:cd
app-00216,dvPG-vlan46,10.10.7.239,TRUE,00:50:56:d2:d2:d2
web-00217,dvPG-vlan68,10.10.11.189,TRUE,00:50:56:92:92:92
srv-00219,dvPG-vlan41,10.10.21.241,TRUE,00:50:56:ff:ff:ff
app-00220,dvPG-vlan43,10.30.47.148,TRUE,00:50:56:79:79:79
srv-00223,dvPG-vlan77,10.10.34.116,TRUE,00:50:56:f6:f6:f6
web-00225,dvPG-vlan26,10.20.4.118,TRUE,00:50:56:49:49:49
db-00226,dvPG-vlan37,10.10.17.211,TRUE,00:50:56:ac:ac:ac
cache-00227,dvPG-vlan70,10.10.58.19,TRUE,00:50:56:24:24:24
app-00228,dvPG-vlan67,10.20.27.97,TRUE,00:50:56:ed:ed:ed
srv-00229,dvPG-vlan54,10.20.42.222,TRUE,00:50:56:42:42:42
app-00230,dvPG-vlan69,10.30.49.7,TRUE,00:50:56:56:56:56
app-00232,dvPG-vlan86,10.20.14.19,TRUE,00:50:56:91:91:91
app-00233,dvPG-vlan37,10.10.29.61,TRUE,00:50:56:ea:ea:ea
srv-00234,dvPG-vlan83,10.10.37.83,TRUE,00:50:56:24:24:24
app-00236,dvPG-vlan58,10.10.23.243,TRUE,00:50:56:06:06:06
srv-00237,dvPG-vlan38,10.10.35.63,TRUE,00:50:56:29:29:29
app-00238,dvPG-vlan27,10.10.27.144,TRUE,00:50:56:db:db:db
web-00239,dvPG-vlan34,10.30.6.139,TRUE,00:50:56:75:75:75
app-00240,dvPG-vlan81,10.20.49.152,TRUE,00:50:56:7a:7a:7a
app-00241,dvPG-vlan25,10.30.13.248,TRUE,00:50:56:c7:c7:c7
mon-00242,dvPG-vlan46,10.10.21.200,TRUE,00:50:56:0a:0a:0a
web-00243,dvPG-vlan70,10.20.52.186,TRUE,00:50:56:e7:e7:e7
srv-00244,dvPG-vlan12,10.10.48.39,TRUE,00:50:56:b2:b2:b2
app-00245,dvPG-vlan73,10.10.25.147,TRUE,00:50:56:7b:7b:7b
db-00246,dvPG-vlan55,10.20.11.189,TRUE,00:50:56:97:97:97
app-00247,dvPG-vlan19,10.20.4.136,TRUE,00:50:56:6a:6a:6a
srv-00248,dvPG-vlan11,10.20.46.40,TRUE,00:50:56:a3:a3:a3
app-00249,dvPG-vlan12,10.20.31.170,TRUE,00:50:56:8f:8f:8f
app-00250,dvPG-vlan65,10.20.19.6,TRUE,00:50:56:fc:fc:fc
srv-00251,dvPG-vlan55,10.10.17.210,TRUE,00:50:56:ca:ca:ca
app-00252,dvPG-vlan20,10.10.45.59,TRUE,00:50:56:86:86:86
db-00254,dvPG-vlan82,10.30.58.224,TRUE,00:50:56:2e:2e:2e
db-00255,dvPG-vlan12,10.10.60.219,TRUE,00:50:56:a3:a3:a3
srv-00256,dvPG-vlan82,10.30.37.63,TRUE,00:50:56:48:48:48
srv-00257,dvPG-vlan20,10.20.45.187,TRUE,00:50:56:94:94:94
db-00258,dvPG-vlan60,10.20.50.159,TRUE,00:50:56:ed:ed:ed
srv-00259,dvPG-vlan58,10.30.23.143,TRUE,00:50:56:72:72:72
web-00260,dvPG-vlan58,10.10.18.41,TRUE,00:50:56:c3:c3:c3
app-00262,dvPG-vlan21,10.10.6.92,TRUE,00:50:56:93:93:93
cache-00264,dvPG-vlan65,10.10.5.44,TRUE,00:50:56:24:24:24
app-00265,dvPG-vlan35,10.10.41.154,TRUE,00:50:56:40:40:40
web-00266,dvPG-vlan52,10.10.52.222,TRUE,00:50:56:2a:2a:2a
web-00267,dvPG-vlan50,10.10.13.124,TRUE,00:50:56:88:88:88
app-00268,dvPG-vlan58,10.20.51.64,TRUE,00:50:56:28:28:28
app-00269,dvPG-vlan80,10.10.12.176,TRUE,00:50:56:5f:5f:5f
app-00270,dvPG-vlan62,10.20.5.211,TRUE,00:50:56:2b:2b:2b
cache-00272,dvPG-vlan23,10.20.59.23,TRUE,00:50:56:c1:c1:c1
srv-00273,dvPG-vlan52,10.10.42.104,TRUE,00:50:56:a4:a4:a4
srv-00274,dvPG-vlan83,10.10.36.150,TRUE,00:50:56:d1:d1:d1
app-00275,dvPG-vlan23,10.10.23.8,TRUE,00:50:56:8e:8e:8e
app-00276,dvPG-vlan54,10.10.14.135,TRUE,00:50:56:c2:c2:c2
db-00277,dvPG-vlan23,10.10.2.219,TRUE,00:50:56:cf:cf:cf
app-00279,dvPG-vlan10,10.20.38.111,TRUE,00:50:56:fa:fa:fa
app-00281,dvPG-vlan68,10.10.8.91,TRUE,00:50:56:6d:6d:6d
web-00283,dvPG-vlan32,10.10.59.167,TRUE,00:50:56:56:56:56
db-00284,dvPG-vlan72,10.20.56.93,TRUE,00:50:56:51:51:51
app-00285,dvPG-vlan72,10.10.46.217,TRUE,00:50:56:7f:7f:7f
app-00286,dvPG-vlan68,10.10.35.75,TRUE,00:50:56:a5:a5:a5
cache-00287,dvPG-vlan15,10.10.35.212,TRUE,00:50:56:79:79:79
srv-00288,dvPG-vlan48,10.10.49.65,TRUE,00:50:56:d9:d9:d9
srv-00289,dvPG-vlan40,10.20.8.209,TRUE,00:50:56:f1:f1:f1
app-00290,dvPG-vlan36,10.20.11.159,TRUE,00:50:56:ac:ac:ac
srv-00291,dvPG-vlan47,10.10.46.76,TRUE,00:50:56:60:60:60
cache-00292,dvPG-vlan26,10.30.9.181,TRUE,00:50:56:69:69:69
app-00293,dvPG-vlan90,10.20.37.163,TRUE,00:50:56:6e:6e:6e
web-00294,dvPG-vlan68,10.20.57.96,TRUE,00:50:56:7e:7e:7e
srv-00295,dvPG-vlan55,10.20.30.164,TRUE,00:50:56:66:66:66
srv-00296,dvPG-vlan80,10.10.19.88,TRUE,00:50:56:21:21:21
cache-00297,dvPG-vlan30,10.20.2.33,TRUE,00:50:56:1b:1b:1b
web-00298,dvPG-vlan45,10.30.20.42,TRUE,00:50:56:5c:5c:5c
app-00299,dvPG-vlan39,10.30.26.162,TRUE,00:50:56:10:10:10
web-00300,dvPG-vlan66,10.10.15.134,TRUE,00:50:56:a4:a4:a4
app-00301,dvPG-vlan21,10.10.5.60,TRUE,00:50:56:6a:6a:6a
mon-00302,dvPG-vlan27,10.10.53.194,TRUE,00:50:56:e4:e4:e4
srv-00304,dvPG-vlan59,10.10.38.188,TRUE,00:50:56:75:75:75
app-00305,dvPG-vlan87,10.10.36.155,TRUE,00:50:56:2e:2e:2e
app-00306,dvPG-vlan47,10.10.13.193,TRUE,00:50:56:06:06:06
srv-00308,dvPG-vlan19,10.10.31.246,TRUE,00:50:56:a9:a9:a9
app-00309,dvPG-vlan90,10.30.26.131,TRUE,00:50:56:80:80:80
srv-00311,dvPG-vlan18,10.20.44.166,TRUE,00:50:56:16:16:16
app-00312,dvPG-vlan17,10.10.30.158,TRUE,00:50:56:96:96:96
app-00313,dvPG-vlan54,10.10.1.43,TRUE,00:50:56:20:20:20
db-00314,dvPG-vlan13,10.20.57.32,TRUE,00:50:56:6f:6f:6f
app-00315,dvPG-vlan75,10.20.5.129,TRUE,00:50:56:32:32:32
app-00316,dvPG-vlan24,10.10.58.148,TRUE,00:50:56:01:01:01
app-00317,dvPG-vlan32,10.10.24.100,TRUE,00:50:56:28:28:28
srv-00318,dvPG-vlan63,10.20.21.65,TRUE,00:50:56:07:07:07
srv-00319,dvPG-vlan38,10.10.4.47,TRUE,00:50:56:a8:a8:a8
srv-00320,dvPG-vlan21,10.20.20.85,TRUE,00:50:56:fb:fb:fb
db-00321,dvPG-vlan85,10.20.16.120,TRUE,00:50:56:7d:7d:7d
srv-00322,dvPG-vlan39,10.10.27.8,TRUE,00:50:56:24:24:24
db-00323,dvPG-vlan77,10.10.20.28,TRUE,00:50:56:c6:c6:c6
srv-00324,dvPG-vlan39,10.10.3.237,TRUE,00:50:56:a9:a9:a9
srv-00325,dvPG-vlan60,10.20.33.36,TRUE,00:50:56:ee:ee:ee
app-00326,dvPG-vlan51,10.10.55.82,TRUE,00:50:56:61:61:61
app-00327,dvPG-vlan31,10.10.7.41,TRUE,00:50:56:38:38:38
web-00328,dvPG-vlan43,10.30.20.120,TRUE,00:50:56:d5:d5:d5
srv-00329,dvPG-vlan51,10.20.3.57,TRUE,00:50:56:df:df:df
app-00330,dvPG-vlan61,10.10.53.46,TRUE,00:50:56:3d:3d:3d
srv-00331,dvPG-vlan38,10.20.4.214,TRUE,00:50:56:cb:cb:cb
app-00332,dvPG-vlan12,10.20.17.236,TRUE,00:50:56:8b:8b:8b
srv-00333,dvPG-vlan25,10.10.52.86,TRUE,00:50:56:55:55:55
app-00334,dvPG-vlan64,10.10.32.9,TRUE,00:50:56:e7:e7:e7
app-00335,dvPG-vlan47,10.20.40.159,TRUE,00:50:56:d0:d0:d0
db-00336,dvPG-vlan41,10.10.57.206,TRUE,00:50:56:c2:c2:c2
app-00338,dvPG-vlan77,10.20.4.209,TRUE,00:50:56:f6:f6:f6
app-00339,dvPG-vlan17,10.20.53.204,TRUE,00:50:56:fd:fd:fd
srv-00340,dvPG-vlan40,10.30.12.47,TRUE,00:50:56:44:44:44
db-00342,dvPG-vlan52,10.10.34.124,TRUE,00:50:56:fc:fc:fc
srv-00343,dvPG-vlan17,10.10.56.84,TRUE,00:50:56:a4:a4:a4
app-00344,dvPG-vlan60,10.20.5.97,TRUE,00:50:56:c3:c3:c3
cache-00345,dvPG-vlan72,10.10.51.165,TRUE,00:50:56:fa:fa:fa
app-00347,dvPG-vlan50,10.30.3.48,TRUE,00:50:56:8c:8c:8c
srv-00348,dvPG-vlan54,10.10.5.62,TRUE,00:50:56:87:87:87
srv-00349,dvPG-vlan11,10.20.22.116,TRUE,00:50:56:9f:9f:9f
app-00350,dvPG-vlan63,10.20.4.100,TRUE,00:50:56:4a:4a:4a
srv-00351,dvPG-vlan83,10.10.51.223,TRUE,00:50:56:fc:fc:fc
app-00353,dvPG-vlan71,10.30.22.154,TRUE,00:50:56:c5:c5:c5
app-00355,dvPG-vlan56,10.10.32.41,TRUE,00:50:56:e2:e2:e2
app-00356,dvPG-vlan47,10.10.14.45,TRUE,00:50:56:b1:b1:b1
srv-00357,dvPG-vlan21,10.10.43.69,TRUE,00:50:56:0e:0e:0e
app-00359,dvPG-vlan62,10.20.43.90,TRUE,00:50:56:79:79:79
srv-00360,dvPG-vlan70,10.20.35.177,TRUE,00:50:56:ca:ca:ca
cache-00361,dvPG-vlan76,10.30.33.148,TRUE,00:50:56:4d:4d:4d
srv-00362,dvPG-vlan34,10.30.14.208,TRUE,00:50:56:1f:1f:1f
app-00363,dvPG-vlan50,10.30.54.154,TRUE,00:50:56:8f:8f:8f
srv-00364,dvPG-vlan11,10.10.34.119,TRUE,00:50:56:be:be:be
srv-00365,dvPG-vlan23,10.10.7.238,TRUE,00:50:56:52:52:52
cache-00366,dvPG-vlan70,10.10.37.157,TRUE,00:50:56:4b:4b:4b
app-00367,dvPG-vlan40,10.20.26.229,TRUE,00:50:56:2e:2e:2e
app-00368,dvPG-vlan22,10.20.18.217,TRUE,00:50:56:e2:e2:e2
srv-00369,dvPG-vlan63,10.10.18.188,TRUE,00:50:56:15:15:15
srv-00371,dvPG-vlan82,10.10.34.227,TRUE,00:50:56:69:69:69
app-00372,dvPG-vlan35,10.10.59.94,TRUE,00:50:56:35:35:35
app-00373,dvPG-vlan67,10.10.24.127,TRUE,00:50:56:2d:2d:2d
app-00374,dvPG-vlan21,10.10.48.214,TRUE,00:50:56:60:60:60
app-00375,dvPG-vlan36,10.20.15.167,TRUE,00:50:56:54:54:54
app-00376,dvPG-vlan32,10.30.31.235,TRUE,00:50:56:dc:dc:dc
web-00378,dvPG-vlan60,10.10.53.161,TRUE,00:50:56:f4:f4:f4
cache-00379,dvPG-vlan51,10.10.18.165,TRUE,00:50:56:d6:d6:d6
srv-00380,dvPG-vlan40,10.20.34.197,TRUE,00:50:56:c0:c0:c0
srv-00381,dvPG-vlan63,10.20.19.68,TRUE,00:50:56:20:20:20
web-00382,dvPG-vlan70,10.10.44.138,TRUE,00:50:56:2b:2b:2b
srv-00383,dvPG-vlan22,10.20.12.77,TRUE,00:50:56:7f:7f:7f
db-00384,dvPG-vlan49,10.20.15.92,TRUE,00:50:56:0d:0d:0d
web-00385,dvPG-vlan84,10.10.4.223,TRUE,00:50:56:87:87:87
cache-00386,dvPG-vlan16,10.20.20.107,TRUE,00:50:56:2e:2e:2e
srv-00387,dvPG-vlan50,10.30.30.38,TRUE,00:50:56:28:28:28
