VM,Disk,Capacity (GB),Disk Mode,Disk Type,Path
app-00205,Hard disk 1,50,persistent,THIN,/
app-00205,Hard disk 2,116,persistent,THIN,/data
app-00206,Hard disk 1,50,persistent,THIN,/
app-00206,Hard disk 2,110,persistent,THIN,/data
app-00210,Hard disk 1,50,persistent,THIN,/
app-00210,Hard disk 2,125,persistent,THIN,/data
app-00211,Hard disk 1,50,persistent,THIN,/
app-00211,Hard disk 2,115,persistent,THIN,/data
app-00212,Hard disk 1,50,persistent,THIN,/
app-00212,Hard disk 2,94,persistent,THIN,/data
app-00213,Hard disk 1,50,persistent,THIN,/
app-00213,Hard disk 2,90,persistent,THIN,/data
app-00216,Hard disk 1,50,persistent,THIN,/
app-00216,Hard disk 2,101,persistent,THIN,/data
web-00217,Hard disk 1,40,persistent,THIN,/
srv-00219,Hard disk 1,50,persistent,THIN,/
app-00220,Hard disk 1,50,persistent,THIN,/
app-00220,Hard disk 2,80,persistent,THIN,/data
srv-00223,Hard disk 1,50,persistent,THIN,/
web-00225,Hard disk 1,40,persistent,THIN,/
db-00226,Hard disk 1,50,persistent,THIN,/
db-00226,Hard disk 2,400,persistent,THIN,/data
cache-00227,Hard disk 1,40,persistent,THIN,/
app-00228,Hard disk 1,50,persistent,THIN,/
app-00228,Hard disk 2,104,persistent,THIN,/data
srv-00229,Hard disk 1,50,persistent,THIN,/
app-00230,Hard disk 1,50,persistent,THIN,/
app-00230,Hard disk 2,99,persistent,THIN,/data
app-00232,Hard disk 1,50,persistent,THIN,/
app-00232,Hard disk 2,86,persistent,THIN,/data
app-00233,Hard disk 1,50,persistent,THIN,/
app-00233,Hard disk 2,114,persistent,THIN,/data
srv-00234,Hard disk 1,50,persistent,THIN,/
app-00236,Hard disk 1,50,persistent,THIN,/
app-00236,Hard disk 2,121,persistent,THIN,/data
srv-00237,Hard disk 1,50,persistent,THIN,/
app-00238,Hard disk 1,50,persistent,THIN,/
app-00238,Hard disk 2,113,persistent,THIN,/data
web-00239,Hard disk 1,40,persistent,THIN,/
app-00240,Hard disk 1,50,persistent,THIN,/
app-00240,Hard disk 2,126,persistent,THIN,/data
app-00241,Hard disk 1,50,persistent,THIN,/
app-00241,Hard disk 2,127,persistent,THIN,/data
mon-00242,Hard disk 1,40,persistent,THIN,/
web-00243,Hard disk 1,40,persistent,THIN,/
srv-00244,Hard disk 1,50,persistent,THIN,/
app-00245,Hard disk 1,50,persistent,THIN,/
app-00245,Hard disk 2,95,persistent,THIN,/data
db-00246,Hard disk 1,50,persistent,THIN,/
db-00246,Hard disk 2,450,persistent,THIN,/data
app-00247,Hard disk 1,50,persistent,THIN,/
app-00247,Hard disk 2,82,persistent,THIN,/data
srv-00248,Hard disk 1,50,persistent,THIN,/
app-00249,Hard disk 1,50,persistent,THIN,/
app-00249,Hard disk 2,111,persistent,THIN,/data
app-00250,Hard disk 1,50,persistent,THIN,/
app-00250,Hard disk 2,112,persistent,THIN,/data
srv-00251,Hard disk 1,50,persistent,THIN,/
app-00252,Hard disk 1,50,persistent,THIN,/
app-00252,Hard disk 2,99,persistent,THIN,/data
db-00254,Hard disk 1,50,persistent,THIN,/
db-00254,Hard disk 2,444,persistent,THIN,/data
db-00255,Hard disk 1,50,persistent,THIN,/
db-00255,Hard disk 2,420,persistent,THIN,/data
srv-00256,Hard disk 1,50,persistent,THIN,/
srv-00257,Hard disk 1,50,persistent,THIN,/
db-00258,Hard disk 1,50,persistent,THIN,/
db-00258,Hard disk 2,438,persistent,THIN,/data
srv-00259,Hard disk 1,50,persistent,THIN,/
web-00260,Hard disk 1,40,persistent,THIN,/
app-00262,Hard disk 1,50,persistent,THIN,/
app-00262,Hard disk 2,115,persistent,THIN,/data
cache-00264,Hard disk 1,40,persistent,THIN,/
app-00265,Hard disk 1,50,persistent,THIN,/
app-00265,Hard disk 2,119,persistent,THIN,/data
web-00266,Hard disk 1,40,persistent,THIN,/
web-00267,Hard disk 1,40,persistent,THIN,/
app-00268,Hard disk 1,50,persistent,THIN,/
app-00268,Hard disk 2,100,persistent,THIN,/data
app-00269,Hard disk 1,50,persistent,THIN,/
app-00269,Hard disk 2,129,persistent,THIN,/data
app-00270,Hard disk 1,50,persistent,THIN,/
app-00270,Hard disk 2,130,persistent,THIN,/data
cache-00272,Hard disk 1,40,persistent,THIN,/
srv-00273,Hard disk 1,50,persistent,THIN,/
srv-00274,Hard disk 1,50,persistent,THIN,/
app-00275,Hard disk 1,50,persistent,THIN,/
app-00275,Hard disk 2,110,persistent,THIN,/data
app-00276,Hard disk 1,50,persistent,THIN,/
app-00276,Hard disk 2,110,persistent,THIN,/data
db-00277,Hard disk 1,50,persistent,THIN,/
db-00277,Hard disk 2,421,persistent,THIN,/data
app-00279,Hard disk 1,50,persistent,THIN,/
app-00279,Hard disk 2,104,persistent,THIN,/data
app-00281,Hard disk 1,50,persistent,THIN,/
app-00281,Hard disk 2,102,persistent,THIN,/data
web-00283,Hard disk 1,40,persistent,THIN,/
db-00284,Hard disk 1,50,persistent,THIN,/
db-00284,Hard disk 2,400,persistent,THIN,/data
app-00285,Hard disk 1,50,persistent,THIN,/
app-00285,Hard disk 2,108,persistent,THIN,/data
app-00286,Hard disk 1,50,persistent,THIN,/
app-00286,Hard disk 2,90,persistent,THIN,/data
cache-00287,Hard disk 1,40,persistent,THIN,/
srv-00288,Hard disk 1,50,persistent,THIN,/
srv-00289,Hard disk 1,50,persistent,THIN,/
app-00290,Hard disk 1,50,persistent,THIN,/
app-00290,Hard disk 2,88,persistent,THIN,/data
srv-00291,Hard disk 1,50,persistent,THIN,/
cache-00292,Hard disk 1,40,persistent,THIN,/
app-00293,Hard disk 1,50,persistent,THIN,/
app-00293,Hard disk 2,97,persistent,THIN,/data
web-00294,Hard disk 1,40,persistent,THIN,/
srv-00295,Hard disk 1,50,persistent,THIN,/
srv-00296,Hard disk 1,50,persistent,THIN,/
cache-00297,Hard disk 1,40,persistent,THIN,/
web-00298,Hard disk 1,40,persistent,THIN,/
app-00299,Hard disk 1,50,persistent,THIN,/
app-00299,Hard disk 2,99,persistent,THIN,/data
web-00300,Hard disk 1,40,persistent,THIN,/
app-00301,Hard disk 1,50,persistent,THIN,/
app-00301,Hard disk 2,104,persistent,THIN,/data
mon-00302,Hard disk 1,40,persistent,THIN,/
srv-00304,Hard disk 1,50,persistent,THIN,/
app-00305,Hard disk 1,50,persistent,THIN,/
app-00305,Hard disk 2,118,persistent,THIN,/data
app-00306,Hard disk 1,50,persistent,THIN,/
app-00306,Hard disk 2,105,persistent,THIN,/data
srv-00308,Hard disk 1,50,persistent,THIN,/
app-00309,Hard disk 1,50,persistent,THIN,/
app-00309,Hard disk 2,98,persistent,THIN,/data
srv-00311,Hard disk 1,50,persistent,THIN,/
app-00312,Hard disk 1,50,persistent,THIN,/
app-00312,Hard disk 2,118,persistent,THIN,/data
app-00313,Hard disk 1,50,persistent,THIN,/
app-00313,Hard disk 2,111,persistent,THIN,/data
db-00314,Hard disk 1,50,persistent,THIN,/
db-00314,Hard disk 2,449,persistent,THIN,/data
app-00315,Hard disk 1,50,persistent,THIN,/
app-00315,Hard disk 2,109,persistent,THIN,/data
app-00316,Hard disk 1,50,persistent,THIN,/
app-00316,Hard disk 2,123,persistent,THIN,/data
app-00317,Hard disk 1,50,persistent,THIN,/
app-00317,Hard disk 2,89,persistent,THIN,/data
srv-00318,Hard disk 1,50,persistent,THIN,/
srv-00319,Hard disk 1,50,persistent,THIN,/
srv-00320,Hard disk 1,50,persistent,THIN,/
db-00321,Hard disk 1,50,persistent,THIN,/
db-00321,Hard disk 2,423,persistent,THIN,/data
srv-00322,Hard disk 1,50,persistent,THIN,/
db-00323,Hard disk 1,50,persistent,THIN,/
db-00323,Hard disk 2,413,persistent,THIN,/data
srv-00324,Hard disk 1,50,persistent,THIN,/
srv-00325,Hard disk 1,50,persistent,THIN,/
app-00326,Hard disk 1,50,persistent,THIN,/
app-00326,Hard disk 2,105,persistent,THIN,/data
app-00327,Hard disk 1,50,persistent,THIN,/
app-00327,Hard disk 2,86,persistent,THIN,/data
web-00328,Hard disk 1,40,persistent,THIN,/
srv-00329,Hard disk 1,50,persistent,THIN,/
app-00330,Hard disk 1,50,persistent,THIN,/
app-00330,Hard disk 2,81,persistent,THIN,/data
srv-00331,Hard disk 1,50,persistent,THIN,/
app-00332,Hard disk 1,50,persistent,THIN,/
app-00332,Hard disk 2,84,persistent,THIN,/data
srv-00333,Hard disk 1,50,persistent,THIN,/
app-00334,Hard disk 1,50,persistent,THIN,/
app-00334,Hard disk 2,104,persistent,THIN,/data
app-00335,Hard disk 1,50,persistent,THIN,/
app-00335,Hard disk 2,95,persistent,THIN,/data
db-00336,Hard disk 1,50,persistent,THIN,/
db-00336,Hard disk 2,433,persistent,THIN,/data
app-00338,Hard disk 1,50,persistent,THIN,/
app-00338,Hard disk 2,110,persistent,THIN,/data
app-00339,Hard disk 1,50,persistent,THIN,/
app-00339,Hard disk 2,127,persistent,THIN,/data
srv-00340,Hard disk 1,50,persistent,THIN,/
db-00342,Hard disk 1,50,persistent,THIN,/
db-00342,Hard disk 2,400,persistent,THIN,/data
srv-00343,Hard disk 1,50,persistent,THIN,/
app-00344,Hard disk 1,50,persistent,THIN,/
app-00344,Hard disk 2,125,persistent,THIN,/data
cache-00345,Hard disk 1,40,persistent,THIN,/
app-00347,Hard disk 1,50,persistent,THIN,/
app-00347,Hard disk 2,118,persistent,THIN,/data
srv-00348,Hard disk 1,50,persistent,THIN,/
srv-00349,Hard disk 1,50,persistent,THIN,/
app-00350,Hard disk 1,50,persistent,THIN,/
app-00350,Hard disk 2,108,persistent,THIN,/data
srv-00351,Hard disk 1,50,persistent,THIN,/
app-00353,Hard disk 1,50,persistent,THIN,/
app-00353,Hard disk 2,119,persistent,THIN,/data
app-00355,Hard disk 1,50,persistent,THIN,/
app-00355,Hard disk 2,83,persistent,THIN,/data
app-00356,Hard disk 1,50,persistent,THIN,/
app-00356,Hard disk 2,120,persistent,THIN,/data
srv-00357,Hard disk 1,50,persistent,THIN,/
app-00359,Hard disk 1,50,persistent,THIN,/
app-00359,Hard disk 2,114,persistent,THIN,/data
srv-00360,Hard disk 1,50,persistent,THIN,/
cache-00361,Hard disk 1,40,persistent,THIN,/
srv-00362,Hard disk 1,50,persistent,THIN,/
app-00363,Hard disk 1,50,persistent,THIN,/
app-00363,Hard disk 2,96,persistent,THIN,/data
srv-00364,Hard disk 1,50,persistent,THIN,/
srv-00365,Hard disk 1,50,persistent,THIN,/
cache-00366,Hard disk 1,40,persistent,THIN,/
app-00367,Hard disk 1,50,persistent,THIN,/
app-00367,Hard disk 2,101,persistent,THIN,/data
app-00368,Hard disk 1,50,persistent,THIN,/
app-00368,Hard disk 2,111,persistent,THIN,/data
srv-00369,Hard disk 1,50,persistent,THIN,/
srv-00371,Hard disk 1,50,persistent,THIN,/
app-00372,Hard disk 1,50,persistent,THIN,/
app-00372,Hard disk 2,125,persistent,THIN,/data
app-00373,Hard disk 1,50,persistent,THIN,/
app-00373,Hard disk 2,118,persistent,THIN,/data
app-00374,Hard disk 1,50,persistent,THIN,/
app-00374,Hard disk 2,124,persistent,THIN,/data
app-00375,Hard disk 1,50,persistent,THIN,/
app-00375,Hard disk 2,94,persistent,THIN,/data
app-00376,Hard disk 1,50,persistent,THIN,/
app-00376,Hard disk 2,88,persistent,THIN,/data
web-00378,Hard disk 1,40,persistent,THIN,/
cache-00379,Hard disk 1,40,persistent,THIN,/
srv-00380,Hard disk 1,50,persistent,THIN,/
srv-00381,Hard disk 1,50,persistent,THIN,/
web-00382,Hard disk 1,40,persistent,THIN,/
srv-00383,Hard disk 1,50,persistent,THIN,/
db-00384,Hard disk 1,50,persistent,THIN,/
db-00384,Hard disk 2,414,persistent,THIN,/data
web-00385,Hard disk 1,40,persistent,THIN,/
cache-00386,Hard disk 1,40,persistent,THIN,/
srv-00387,Hard disk 1,50,persistent,THIN,/
srv-00388,Hard disk 1,50,persistent,THIN,/
web-00389,Hard disk 1,40,persistent,THIN,/
web-00390,Hard disk 1,40,persistent,THIN,/
srv-00391,Hard disk 1,50,persistent,THIN,/
app-00392,Hard disk 1,50,persistent,THIN,/
app-00392,Hard disk 2,109,persistent,THIN,/data
app-00394,Hard disk 1,50,persistent,THIN,/
app-00394,Hard disk 2,125,persistent,THIN,/data
app-00395,Hard disk 1,50,persistent,THIN,/
app-00395,Hard disk 2,121,persistent,THIN,/data
app-00396,Hard disk 1,50,persistent,THIN,/
app-00396,Hard disk 2,124,persistent,THIN,/data
app-00397,Hard disk 1,50,persistent,THIN,/
app-00397,Hard disk 2,86,persistent,THIN,/data
web-00401,Hard disk 1,40,persistent,THIN,/
srv-00402,Hard disk 1,50,persistent,THIN,/
app-00404,Hard disk 1,50,persistent,THIN,/
app-00404,Hard disk 2,121,persistent,THIN,/data
app-00405,Hard disk 1,50,persistent,THIN,/
app-00405,Hard disk 2,110,persistent,THIN,/data
app-00407,Hard disk 1,50,persistent,THIN,/
app-00407,Hard disk 2,113,persistent,THIN,/data
srv-00409,Hard disk 1,50,persistent,THIN,/
app-00410,Hard disk 1,50,persistent,THIN,/
app-00410,Hard disk 2,104,persistent,THIN,/data
srv-00411,Hard disk 1,50,persistent,THIN,/
srv-00412,Hard disk 1,50,persistent,THIN,/
srv-00413,Hard disk 1,50,persistent,THIN,/
srv-00414,Hard disk 1,50,persistent,THIN,/
app-00415,Hard disk 1,50,persistent,THIN,/
app-00415,Hard disk 2,113,persistent,THIN,/data
app-00417,Hard disk 1,50,persistent,THIN,/
app-00417,Hard disk 2,82,persistent,THIN,/data
app-00418,Hard disk 1,50,persistent,THIN,/
app-00418,Hard disk 2,127,persistent,THIN,/data
db-00419,Hard disk 1,50,persistent,THIN,/
db-00419,Hard disk 2,408,persistent,THIN,/data
web-00420,Hard disk 1,40,persistent,THIN,/
srv-00421,Hard disk 1,50,persistent,THIN,/
srv-00422,Hard disk 1,50,persistent,THIN,/
